id-area-amoblado-numero_habitaciones-noches_anio-seguro
150001-72,93-0-3-15-1
152910-32,55-1-4-24-2910
152911-77,47-0-3-17-2911
152912-62,92-1-3-3-2912
152913-26,13-0-1-18-2913
152914-49,93-1-2-29-2914
152915-59,32-1-4-1-2915
152916-30,24-0-4-27-2916
152917-77,86-0-2-6-2917
152918-60,29-0-1-27-2918
152919-42,29-0-4-8-2919
152920-34,92-1-2-29-2920
152921-45,53-0-1-8-2921
152922-79,69-0-1-14-2922
152923-26,76-1-4-15-2923
152924-64,79-0-1-8-2924
152925-51,39-0-1-6-2925
152926-43,95-0-4-14-2926
152927-63,87-1-2-19-2927
152928-60,99-0-1-28-2928
152929-45,30-1-3-17-2929
152930-51,60-0-1-29-2930
152931-35,62-1-2-6-2931
152932-62,78-1-4-28-2932
152933-74,46-0-4-28-2933
152934-73,69-0-3-6-2934
152935-73,30-0-3-16-2935
152936-44,70-0-3-11-2936
152937-33,94-1-4-19-2937
152938-73,84-0-1-16-2938
152939-25,58-0-3-8-2939
152940-63,01-1-2-12-2940
152941-36,01-0-1-16-2941
152942-43,31-0-2-13-2942
152943-62,99-0-2-28-2943
152944-53,90-0-3-5-2944
152945-29,15-1-1-3-2945
152946-72,79-0-2-11-2946
152947-68,24-0-4-9-2947
152948-36,77-1-1-8-2948
152949-25,82-0-1-10-2949
152950-71,83-1-1-13-2950
152951-56,76-1-4-4-2951
152952-53,19-1-1-24-2952
152953-70,14-0-2-14-2953
152954-61,51-1-4-13-2954
152955-26,03-0-1-14-2955
152956-71,04-1-1-16-2956
152957-42,36-1-2-23-2957
152958-28,54-0-1-1-2958
152959-34,43-0-2-5-2959
152960-31,87-0-4-2-2960
152961-44,08-0-3-28-2961
152962-38,89-0-2-24-2962
152963-27,07-0-4-19-2963
152964-44,52-0-1-16-2964
152965-32,01-1-2-15-2965
152966-50,30-0-2-10-2966
152967-44,63-1-3-5-2967
152968-58,56-0-3-25-2968
152969-62,08-0-1-0-2969
152970-68,14-0-2-16-2970
152971-27,82-0-1-10-2971
152972-45,68-0-2-16-2972
152973-26,88-0-1-9-2973
152974-45,13-0-1-19-2974
152975-44,63-0-4-14-2975
152976-42,13-1-3-15-2976
152977-28,25-0-1-13-2977
152978-53,86-0-4-12-2978
152979-56,79-0-3-29-2979
152980-67,44-0-2-24-2980
152981-63,44-0-2-0-2981
152982-39,27-1-3-23-2982
152983-26,48-1-1-16-2983
152984-71,24-0-1-15-2984
152985-66,84-0-3-11-2985
152986-34,84-0-1-13-2986
152987-28,75-0-4-21-2987
152988-77,91-0-2-21-2988
152989-66,00-1-4-26-2989
152990-77,05-1-3-27-2990
152991-27,92-0-2-14-2991
152992-26,91-0-2-20-2992
152993-38,01-0-1-15-2993
152994-39,77-0-1-5-2994
152995-30,42-0-2-28-2995
152996-55,07-1-2-17-2996
152997-77,83-0-3-22-2997
152998-52,51-1-4-1-2998
152999-62,13-0-1-15-2999
153000-34,25-1-3-23-3000
153001-26,44-1-2-21-3001
153002-51,26-1-1-26-3002
153003-79,37-1-2-14-3003
153004-79,83-1-2-2-3004
153005-56,56-0-4-28-3005
153006-39,60-1-2-8-3006
153007-55,50-1-2-5-3007
153008-40,37-0-1-4-3008
153009-27,42-0-3-22-3009
153010-75,33-1-3-16-3010
153011-43,59-1-4-23-3011
153012-60,09-1-2-22-3012
153013-47,16-1-3-9-3013
153014-27,75-0-3-1-3014
153015-33,38-1-2-0-3015
153016-74,91-1-1-22-3016
153017-55,10-0-4-16-3017
153018-27,54-1-2-11-3018
153019-50,63-1-3-21-3019
153020-33,92-0-3-21-3020
153021-60,44-0-4-19-3021
153022-69,31-0-4-28-3022
153023-30,23-0-2-4-3023
153024-28,11-0-3-6-3024
153025-64,20-1-3-20-3025
153026-47,98-1-4-25-3026
153027-36,51-0-1-25-3027
153028-37,71-1-2-22-3028
153029-69,34-0-4-29-3029
153030-36,17-0-2-25-3030
153031-33,14-1-2-6-3031
153032-75,56-0-2-27-3032
153033-78,98-1-2-0-3033
153034-50,11-0-3-26-3034
153035-75,89-1-4-23-3035
153036-78,02-1-3-12-3036
153037-38,62-1-2-2-3037
153038-52,74-1-1-6-3038
153039-75,05-1-1-15-3039
153040-55,47-1-3-5-3040
153041-64,40-0-4-29-3041
153042-49,75-1-2-14-3042
153043-42,03-0-4-20-3043
153044-40,75-0-3-28-3044
153045-34,18-0-2-17-3045
153046-31,52-0-1-16-3046
153047-36,69-0-3-2-3047
153048-43,38-1-2-24-3048
153049-76,52-1-3-13-3049
153050-27,23-1-4-24-3050
153051-78,85-1-1-19-3051
153052-48,55-1-4-12-3052
153053-49,71-1-1-10-3053
153054-35,61-0-3-0-3054
153055-48,70-0-3-16-3055
153056-42,40-0-1-26-3056
153057-30,64-0-4-17-3057
153058-28,16-1-1-4-3058
153059-78,11-1-4-7-3059
153060-64,29-0-4-5-3060
153061-54,30-0-3-27-3061
153062-62,27-1-4-14-3062
153063-51,64-1-3-12-3063
153064-66,74-0-3-14-3064
153065-25,75-1-4-16-3065
153066-31,96-0-3-15-3066
153067-59,35-0-1-25-3067
153068-43,20-1-4-27-3068
153069-25,25-0-2-29-3069
153070-69,54-0-3-11-3070
153071-78,12-1-3-5-3071
153072-27,52-0-3-11-3072
153073-48,63-0-4-3-3073
153074-64,19-0-4-24-3074
153075-71,22-0-3-17-3075
153076-38,44-1-2-23-3076
153077-77,48-0-3-18-3077
153078-51,76-1-2-13-3078
153079-45,77-0-3-7-3079
153080-46,39-1-3-6-3080
153081-56,69-0-1-18-3081
153082-55,34-0-4-17-3082
153083-54,54-1-2-12-3083
153084-39,20-1-3-18-3084
153085-57,12-1-4-25-3085
153086-78,07-0-3-0-3086
153087-56,32-1-3-7-3087
153088-29,42-0-3-17-3088
153089-53,36-0-3-24-3089
153090-30,44-1-2-9-3090
153091-71,13-0-2-25-3091
153092-43,46-1-2-2-3092
153093-46,52-0-3-15-3093
153094-55,19-0-1-5-3094
153095-37,24-0-3-16-3095
153096-42,97-0-3-12-3096
153097-56,60-1-2-3-3097
153098-78,43-0-4-15-3098
153099-27,54-1-1-21-3099
153100-72,59-1-1-6-3100
153101-30,51-1-1-4-3101
153102-57,28-1-1-6-3102
153103-45,14-0-1-23-3103
153104-34,08-0-3-7-3104
153105-31,24-1-4-3-3105
153106-47,32-0-4-16-3106
153107-49,89-0-3-13-3107
153108-67,93-0-3-26-3108
153109-50,50-0-2-21-3109
153110-36,75-0-2-0-3110
153111-74,12-1-1-7-3111
153112-56,66-1-2-8-3112
153113-48,47-0-4-14-3113
153114-77,22-1-1-13-3114
153115-27,59-0-2-16-3115
153116-37,79-1-4-13-3116
153117-53,46-0-4-0-3117
153118-49,12-1-3-29-3118
153119-40,86-1-2-22-3119
153120-30,96-0-1-6-3120
153121-35,66-1-4-19-3121
153122-64,89-1-2-0-3122
153123-45,72-0-4-28-3123
153124-71,72-0-3-20-3124
153125-72,65-0-2-19-3125
153126-67,68-1-4-10-3126
153127-56,89-1-3-18-3127
153128-70,24-1-2-6-3128
153129-27,12-1-1-2-3129
153130-26,69-1-2-13-3130
153131-72,94-0-2-21-3131
153132-57,72-0-1-27-3132
153133-53,72-0-4-21-3133
153134-42,04-1-4-17-3134
153135-39,54-0-4-9-3135
153136-62,01-1-3-7-3136
153137-71,29-1-4-6-3137
153138-57,93-1-2-17-3138
153139-43,28-1-1-11-3139
153140-76,42-0-4-15-3140
153141-39,94-0-2-24-3141
153142-66,26-0-4-2-3142
153143-49,68-0-1-1-3143
153144-54,36-0-4-0-3144
153145-47,93-0-3-8-3145
153146-70,98-1-1-29-3146
153147-62,10-0-2-27-3147
153148-44,44-0-2-4-3148
153149-44,79-0-2-15-3149
153150-61,64-0-1-27-3150
153151-34,43-1-1-13-3151
153152-65,63-0-1-4-3152
153153-59,15-0-1-14-3153
153154-64,95-0-1-21-3154
153155-63,87-0-1-3-3155
153156-33,47-0-3-18-3156
153157-45,17-1-3-18-3157
153158-55,47-0-2-13-3158
153159-72,68-0-3-28-3159
153160-29,12-0-1-16-3160
153161-59,69-1-2-26-3161
153162-61,16-0-2-24-3162
153163-72,34-1-3-22-3163
153164-52,50-0-1-9-3164
153165-54,21-0-4-5-3165
153166-64,24-0-1-17-3166
153167-74,14-1-3-13-3167
153168-49,54-0-1-24-3168
153169-28,25-0-2-17-3169
153170-79,15-1-2-14-3170
153171-66,79-1-2-15-3171
153172-27,92-1-2-12-3172
153173-63,54-1-2-9-3173
153174-62,89-0-4-10-3174
153175-30,77-1-2-3-3175
153176-57,85-1-3-13-3176
153177-45,63-0-4-11-3177
153178-40,56-0-1-25-3178
153179-58,16-1-2-12-3179
153180-73,30-0-3-7-3180
153181-73,05-1-3-22-3181
153182-28,65-1-1-18-3182
153183-32,80-1-4-13-3183
153184-38,63-0-4-15-3184
153185-65,67-0-1-7-3185
153186-31,18-0-3-5-3186
153187-79,49-0-1-17-3187
153188-53,26-0-2-26-3188
153189-60,46-0-4-5-3189
153190-74,12-0-3-11-3190
153191-72,14-1-2-17-3191
153192-43,23-0-3-25-3192
153193-60,99-1-4-0-3193
153194-71,79-0-1-3-3194
153195-67,82-0-4-8-3195
153196-61,82-1-1-24-3196
153197-75,19-0-3-9-3197
153198-37,92-0-1-8-3198
153199-67,98-1-4-10-3199
153200-69,16-0-2-8-3200
153201-41,59-0-1-28-3201
153202-35,40-1-4-12-3202
153203-44,84-0-4-29-3203
153204-33,57-0-3-3-3204
153205-74,62-1-1-13-3205
153206-73,56-0-2-11-3206
153207-73,83-0-3-13-3207
153208-75,09-0-4-18-3208
153209-68,46-0-1-2-3209
153210-40,18-0-1-24-3210
153211-36,29-0-3-1-3211
153212-31,70-0-4-18-3212
153213-45,50-1-2-16-3213
153214-53,43-1-2-24-3214
153215-27,87-1-1-3-3215
153216-67,24-1-2-7-3216
153217-51,16-1-1-6-3217
153218-34,99-0-1-4-3218
153219-73,67-0-1-15-3219
153220-78,74-1-1-3-3220
153221-43,20-1-2-23-3221
153222-25,80-0-4-10-3222
153223-72,38-1-2-24-3223
153224-77,88-0-2-11-3224
153225-43,52-0-3-26-3225
153226-73,83-0-3-16-3226
153227-70,72-1-1-25-3227
153228-26,56-1-3-5-3228
153229-77,21-1-2-19-3229
153230-65,52-0-1-8-3230
153231-75,85-0-3-25-3231
153232-56,61-0-4-20-3232
153233-62,93-1-3-16-3233
153234-64,56-1-4-25-3234
153235-30,76-0-2-1-3235
153236-58,48-1-3-19-3236
153237-64,16-0-3-0-3237
153238-61,05-0-1-23-3238
153239-72,36-1-2-14-3239
153240-41,15-0-1-0-3240
153241-50,00-0-3-12-3241
153242-48,55-0-3-9-3242
153243-48,33-1-3-29-3243
153244-39,31-1-2-3-3244
153245-52,98-1-2-4-3245
153246-71,29-1-2-23-3246
153247-28,64-1-1-2-3247
153248-25,98-0-1-0-3248
153249-36,65-0-4-28-3249
153250-28,85-1-3-22-3250
153251-74,74-0-1-27-3251
153252-38,39-0-1-5-3252
153253-29,18-1-2-18-3253
153254-68,95-1-1-10-3254
153255-38,08-1-2-20-3255
153256-51,72-0-4-5-3256
153257-51,95-1-1-18-3257
153258-28,63-0-2-2-3258
153259-69,14-1-3-13-3259
153260-67,44-1-2-15-3260
153261-66,71-1-3-14-3261
153262-43,43-0-3-4-3262
153263-27,35-1-1-22-3263
153264-28,38-0-2-10-3264
153265-26,32-0-3-13-3265
153266-69,59-1-2-21-3266
153267-30,07-1-4-25-3267
153268-31,47-0-2-19-3268
153269-55,14-1-3-9-3269
153270-41,47-0-1-6-3270
153271-41,99-1-3-28-3271
153272-39,41-0-1-13-3272
153273-34,72-0-3-28-3273
153274-31,52-1-3-5-3274
153275-28,58-1-1-12-3275
153276-55,69-1-1-27-3276
153277-52,33-0-2-7-3277
153278-42,75-0-3-27-3278
153279-76,84-1-4-29-3279
153280-29,57-0-3-12-3280
153281-71,97-0-4-6-3281
153282-37,45-1-2-21-3282
153283-71,15-0-3-22-3283
153284-62,54-1-1-18-3284
153285-67,75-1-3-27-3285
153286-32,24-1-1-15-3286
153287-35,16-1-3-20-3287
153288-78,89-1-1-9-3288
153289-33,64-1-1-17-3289
153290-30,63-1-1-29-3290
153291-28,72-0-2-7-3291
153292-45,27-0-4-14-3292
153293-50,80-1-3-28-3293
153294-44,10-1-2-6-3294
153295-25,65-0-3-12-3295
153296-66,34-1-1-21-3296
153297-49,37-1-4-8-3297
153298-65,94-0-2-6-3298
153299-48,94-1-1-0-3299
153300-52,80-0-2-28-3300
153301-38,17-1-3-14-3301
153302-63,03-0-1-12-3302
153303-67,32-0-2-11-3303
153304-28,54-1-3-12-3304
153305-61,20-1-4-8-3305
153306-47,30-0-3-13-3306
153307-63,56-1-2-26-3307
153308-67,20-0-3-26-3308
153309-38,54-0-3-6-3309
153310-56,07-0-2-1-3310
153311-43,42-0-4-21-3311
153312-76,86-0-3-18-3312
153313-30,05-0-4-18-3313
153314-61,23-0-3-15-3314
153315-27,50-0-3-25-3315
153316-65,43-0-4-20-3316
153317-58,08-0-2-20-3317
153318-75,55-0-4-24-3318
153319-38,64-0-2-3-3319
153320-73,00-0-4-0-3320
153321-58,38-1-2-12-3321
153322-65,18-1-2-14-3322
153323-42,30-1-3-4-3323
153324-79,99-1-4-25-3324
153325-59,51-0-1-27-3325
153326-77,99-0-3-9-3326
153327-54,76-0-2-15-3327
153328-55,07-0-2-26-3328
153329-28,57-1-2-0-3329
153330-77,86-0-4-24-3330
153331-56,80-1-2-22-3331
153332-40,36-0-2-0-3332
153333-73,31-1-1-7-3333
153334-44,71-1-4-5-3334
153335-78,58-0-3-4-3335
153336-54,78-1-3-6-3336
153337-32,32-1-1-1-3337
153338-52,60-1-2-12-3338
153339-72,23-1-4-10-3339
153340-67,21-0-1-13-3340
153341-48,57-0-2-25-3341
153342-39,13-1-4-4-3342
153343-77,00-0-3-22-3343
153344-48,58-0-4-23-3344
153345-77,11-1-1-17-3345
153346-68,45-0-3-29-3346
153347-72,63-1-3-28-3347
153348-38,71-0-3-14-3348
153349-74,96-1-4-3-3349
153350-68,25-1-1-5-3350
153351-77,47-0-3-3-3351
153352-58,19-0-4-22-3352
153353-63,69-0-2-12-3353
153354-32,47-0-1-14-3354
153355-52,18-0-3-18-3355
153356-45,71-1-3-7-3356
153357-52,57-1-1-15-3357
153358-29,36-0-2-19-3358
153359-33,69-0-1-13-3359
153360-47,26-0-3-4-3360
153361-74,26-0-4-10-3361
153362-39,41-1-1-5-3362
153363-68,85-1-2-24-3363
153364-28,41-1-3-11-3364
153365-30,30-0-3-24-3365
153366-27,26-0-3-19-3366
153367-50,99-1-3-22-3367
153368-56,86-0-2-27-3368
153369-72,92-0-2-18-3369
153370-29,52-0-2-3-3370
153371-72,20-0-3-1-3371
153372-63,37-0-1-10-3372
153373-64,47-0-1-6-3373
153374-51,97-0-3-22-3374
153375-66,50-0-2-1-3375
153376-38,17-0-4-14-3376
153377-26,78-1-2-23-3377
153378-68,03-1-3-15-3378
153379-43,40-0-3-16-3379
153380-54,10-0-3-8-3380
153381-51,62-1-2-26-3381
153382-52,47-0-4-20-3382
153383-33,69-0-4-24-3383
153384-59,04-1-3-9-3384
153385-40,55-0-4-14-3385
153386-25,09-0-3-20-3386
153387-61,02-0-4-17-3387
153388-46,24-1-4-24-3388
153389-40,22-0-2-26-3389
153390-59,52-1-3-10-3390
153391-69,49-1-4-19-3391
153392-40,98-1-2-28-3392
153393-47,66-1-1-20-3393
153394-48,43-1-2-8-3394
153395-35,30-1-3-15-3395
153396-58,03-0-3-14-3396
153397-72,94-1-4-7-3397
153398-36,12-1-1-15-3398
153399-56,79-0-4-14-3399
153400-43,38-0-4-23-3400
153401-72,59-0-4-28-3401
153402-58,40-0-3-7-3402
153403-32,46-0-1-14-3403
153404-25,06-0-1-12-3404
153405-56,39-0-1-18-3405
153406-40,79-0-2-10-3406
153407-74,36-1-1-14-3407
153408-45,21-0-1-5-3408
153409-50,61-1-2-25-3409
153410-79,82-1-4-15-3410
153411-35,78-1-4-28-3411
153412-67,93-0-1-18-3412
153413-62,32-0-3-19-3413
153414-41,80-1-1-16-3414
153415-44,96-1-2-14-3415
153416-37,55-1-1-9-3416
153417-61,68-1-3-21-3417
153418-37,60-1-2-3-3418
153419-67,11-1-1-26-3419
153420-78,24-0-3-20-3420
153421-36,01-1-1-7-3421
153422-52,73-1-4-10-3422
153423-51,69-1-1-5-3423
153424-72,41-0-4-21-3424
153425-28,84-1-2-5-3425
153426-59,38-1-4-16-3426
153427-43,09-0-3-19-3427
153428-69,83-0-1-9-3428
153429-53,96-0-3-28-3429
153430-35,55-1-2-21-3430
153431-70,90-0-2-10-3431
153432-50,53-0-1-17-3432
153433-60,33-0-2-7-3433
153434-60,39-0-1-27-3434
153435-68,30-1-1-8-3435
153436-35,96-0-1-6-3436
153437-55,42-1-4-18-3437
153438-61,52-0-1-12-3438
153439-47,52-1-2-14-3439
153440-73,34-1-1-9-3440
153441-69,07-1-4-19-3441
153442-78,13-1-4-29-3442
153443-74,17-0-2-21-3443
153444-28,77-0-3-24-3444
153445-72,43-0-1-10-3445
153446-73,81-1-3-2-3446
153447-30,03-1-2-0-3447
153448-36,78-0-3-14-3448
153449-45,26-1-3-26-3449
153450-32,21-0-3-1-3450
153451-37,45-1-3-25-3451
153452-34,89-1-2-15-3452
153453-70,47-1-4-5-3453
153454-60,91-0-2-9-3454
153455-45,19-1-2-15-3455
153456-56,80-0-2-8-3456
153457-79,83-1-2-17-3457
153458-56,42-0-4-6-3458
153459-43,72-1-3-16-3459
153460-53,10-1-1-15-3460
153461-43,24-0-2-12-3461
153462-60,74-0-4-6-3462
153463-38,12-1-4-3-3463
153464-35,98-1-1-15-3464
153465-76,72-0-2-23-3465
153466-38,62-0-3-13-3466
153467-71,89-0-4-22-3467
153468-29,34-0-4-28-3468
153469-62,37-1-3-26-3469
153470-65,11-0-1-22-3470
153471-54,52-1-2-3-3471
153472-34,25-0-1-3-3472
153473-42,99-0-3-3-3473
153474-58,01-0-2-14-3474
153475-38,53-1-4-11-3475
153476-60,26-0-4-14-3476
153477-69,37-0-3-22-3477
153478-43,27-1-4-26-3478
153479-72,52-1-3-4-3479
153480-73,91-1-1-19-3480
153481-64,17-0-2-10-3481
153482-62,74-0-2-6-3482
153483-56,85-1-4-4-3483
153484-61,63-1-3-9-3484
153485-33,62-1-4-21-3485
153486-34,40-1-2-18-3486
153487-54,11-1-3-29-3487
153488-43,73-0-1-13-3488
153489-43,60-1-1-0-3489
153490-56,01-0-3-24-3490
153491-28,32-0-3-15-3491
153492-43,92-1-4-12-3492
153493-62,77-0-2-24-3493
153494-52,85-1-2-2-3494
153495-59,23-1-1-20-3495
153496-68,36-1-3-29-3496
153497-29,81-0-4-11-3497
153498-35,76-0-3-6-3498
153499-70,95-0-3-23-3499
153500-68,08-1-3-0-3500
153501-63,20-0-1-29-3501
153502-52,69-0-3-5-3502
153503-61,28-1-2-8-3503
153504-40,30-1-4-10-3504
153505-67,35-1-4-3-3505
153506-54,33-1-4-3-3506
153507-48,81-1-2-21-3507
153508-68,24-1-3-3-3508
153509-57,71-1-3-17-3509
153510-75,50-0-1-25-3510
153511-25,57-0-4-3-3511
153512-51,20-1-3-26-3512
153513-36,34-0-3-24-3513
153514-75,33-1-4-29-3514
153515-79,82-1-1-6-3515
153516-27,16-1-1-14-3516
153517-67,79-1-1-22-3517
153518-26,59-0-2-22-3518
153519-55,91-1-1-0-3519
153520-33,47-1-3-23-3520
153521-45,21-0-2-9-3521
153522-29,92-0-3-27-3522
153523-71,20-1-2-18-3523
153524-57,34-0-4-3-3524
153525-37,19-0-1-2-3525
153526-36,77-1-3-6-3526
153527-46,77-1-4-15-3527
153528-36,31-0-1-17-3528
153529-73,23-1-2-22-3529
153530-53,11-1-2-23-3530
153531-47,35-1-1-14-3531
153532-75,47-1-1-17-3532
153533-37,47-0-1-27-3533
153534-64,80-0-3-18-3534
153535-41,73-1-1-19-3535
153536-63,58-0-3-11-3536
153537-38,61-0-2-17-3537
153538-78,80-1-4-3-3538
153539-56,40-1-3-18-3539
153540-29,31-0-4-5-3540
153541-71,04-0-2-0-3541
153542-44,82-0-2-17-3542
153543-70,74-1-3-19-3543
153544-48,98-1-4-1-3544
153545-36,07-0-3-13-3545
153546-50,34-0-1-8-3546
153547-56,00-1-2-17-3547
153548-44,99-1-4-2-3548
153549-49,86-1-1-15-3549
153550-68,36-0-3-5-3550
153551-51,02-0-4-23-3551
153552-43,75-0-4-17-3552
153553-31,40-1-3-15-3553
153554-65,91-1-3-8-3554
153555-34,00-1-2-22-3555
153556-28,66-1-4-8-3556
153557-68,35-0-2-12-3557
153558-64,41-0-2-26-3558
153559-65,97-0-1-9-3559
153560-40,47-1-1-26-3560
153561-43,71-0-3-9-3561
153562-55,55-0-3-22-3562
153563-35,11-1-4-2-3563
153564-76,84-0-1-4-3564
153565-57,38-0-4-12-3565
153566-37,71-0-3-24-3566
153567-39,98-1-4-7-3567
153568-35,28-1-2-1-3568
153569-46,65-1-2-14-3569
153570-36,19-1-3-28-3570
153571-50,35-1-2-2-3571
153572-37,05-0-3-15-3572
153573-66,22-0-1-26-3573
153574-36,40-0-3-6-3574
153575-59,79-0-1-13-3575
153576-59,01-1-4-4-3576
153577-26,12-1-1-27-3577
153578-62,31-0-1-17-3578
153579-56,95-0-2-24-3579
153580-33,80-1-3-6-3580
153581-55,86-1-4-6-3581
153582-57,41-1-4-2-3582
153583-65,70-1-2-20-3583
153584-75,33-1-1-3-3584
153585-78,10-0-1-13-3585
153586-32,98-0-2-5-3586
153587-79,52-1-1-5-3587
153588-73,86-1-3-21-3588
153589-26,42-1-2-29-3589
153590-37,69-0-2-24-3590
153591-52,39-1-2-0-3591
153592-68,00-1-3-17-3592
153593-48,12-1-2-6-3593
153594-59,78-0-2-18-3594
153595-50,89-1-2-8-3595
153596-41,95-1-2-6-3596
153597-33,76-1-2-16-3597
153598-26,44-1-1-24-3598
153599-52,83-1-4-23-3599
153600-25,12-0-3-3-3600
153601-32,69-1-4-3-3601
153602-27,07-0-3-3-3602
153603-48,71-0-3-21-3603
153604-41,73-0-3-7-3604
153605-38,81-0-2-15-3605
153606-43,04-0-1-27-3606
153607-42,91-0-1-11-3607
153608-36,23-0-1-29-3608
153609-38,09-1-3-7-3609
153610-78,32-0-1-0-3610
153611-33,06-0-4-19-3611
153612-29,77-1-3-17-3612
153613-25,03-0-1-5-3613
153614-46,02-1-1-4-3614
153615-64,95-1-1-16-3615
153616-49,96-1-1-14-3616
153617-68,66-0-1-1-3617
153618-78,22-1-2-5-3618
153619-50,62-0-2-9-3619
153620-47,32-0-2-22-3620
153621-45,03-0-4-1-3621
153622-25,97-0-4-11-3622
153623-59,94-0-4-18-3623
153624-43,42-0-4-5-3624
153625-40,10-1-1-29-3625
153626-32,19-0-2-20-3626
153627-50,49-1-3-17-3627
153628-63,98-1-4-3-3628
153629-38,82-0-4-16-3629
153630-34,93-1-4-9-3630
153631-49,79-1-4-16-3631
153632-37,42-0-3-29-3632
153633-58,02-1-2-28-3633
153634-60,71-1-2-11-3634
153635-71,70-0-3-19-3635
153636-46,65-0-2-8-3636
153637-52,41-0-3-2-3637
153638-41,81-1-2-23-3638
153639-56,29-1-3-26-3639
153640-62,28-0-4-2-3640
153641-38,72-0-1-12-3641
153642-48,57-0-1-20-3642
153643-29,83-1-3-12-3643
153644-58,71-0-1-18-3644
153645-47,69-1-2-4-3645
153646-40,83-1-1-13-3646
153647-33,11-1-3-24-3647
153648-42,23-0-3-12-3648
153649-44,03-1-2-4-3649
153650-64,77-0-2-17-3650
153651-58,04-0-3-28-3651
153652-55,88-1-4-11-3652
153653-26,10-1-3-13-3653
153654-62,54-0-2-15-3654
153655-37,29-1-3-26-3655
153656-77,07-1-4-17-3656
153657-60,42-1-3-14-3657
153658-52,64-1-2-26-3658
153659-25,28-1-4-0-3659
153660-62,39-1-4-23-3660
153661-62,08-1-3-24-3661
153662-69,09-0-4-14-3662
153663-55,87-0-2-17-3663
153664-48,07-1-2-17-3664
153665-52,97-0-2-18-3665
153666-63,84-1-1-6-3666
153667-77,41-0-1-3-3667
153668-61,49-0-1-14-3668
153669-73,59-0-3-13-3669
153670-62,10-0-4-22-3670
153671-25,88-1-2-1-3671
153672-45,93-1-1-2-3672
153673-34,60-0-4-19-3673
153674-37,83-1-2-0-3674
153675-58,96-0-2-10-3675
153676-77,54-1-2-9-3676
153677-65,47-1-1-14-3677
153678-65,71-1-1-12-3678
153679-52,18-1-1-2-3679
153680-60,73-1-1-10-3680
153681-50,29-1-3-6-3681
153682-76,12-0-1-21-3682
153683-54,88-1-3-0-3683
153684-69,53-0-2-27-3684
153685-63,19-0-4-1-3685
153686-33,28-1-1-13-3686
153687-75,90-1-3-27-3687
153688-48,60-1-4-23-3688
153689-46,90-1-4-9-3689
153690-66,51-0-4-9-3690
153691-43,56-0-3-9-3691
153692-59,30-1-1-28-3692
153693-37,49-1-4-19-3693
153694-66,23-0-3-25-3694
153695-72,03-1-1-24-3695
153696-68,32-0-4-10-3696
153697-67,26-1-4-7-3697
153698-59,80-1-1-3-3698
153699-43,12-0-4-20-3699
153700-69,72-1-1-2-3700
153701-52,04-0-4-0-3701
153702-74,51-0-1-20-3702
153703-46,79-1-2-3-3703
153704-71,84-0-3-11-3704
153705-62,27-0-3-27-3705
153706-37,53-1-1-11-3706
153707-53,36-0-4-12-3707
153708-35,73-0-4-22-3708
153709-79,29-0-3-11-3709
153710-41,14-1-1-15-3710
153711-60,13-0-2-6-3711
153712-27,51-0-4-0-3712
153713-65,24-0-2-20-3713
153714-33,11-0-1-9-3714
153715-40,29-1-1-26-3715
153716-37,72-1-2-13-3716
153717-44,62-0-1-27-3717
153718-67,52-1-3-3-3718
153719-71,57-1-1-7-3719
153720-49,69-0-4-17-3720
153721-72,54-0-4-14-3721
153722-70,12-0-3-7-3722
153723-46,06-0-3-14-3723
153724-37,02-1-2-10-3724
153725-38,94-0-1-6-3725
153726-58,91-1-4-22-3726
153727-75,39-0-1-1-3727
153728-53,68-1-2-19-3728
153729-45,13-0-3-6-3729
153730-76,62-0-1-9-3730
153731-68,24-1-4-14-3731
153732-70,67-0-1-19-3732
153733-66,44-0-2-28-3733
153734-40,18-0-3-18-3734
153735-39,22-1-1-5-3735
153736-46,25-0-2-17-3736
153737-61,72-1-4-9-3737
153738-76,96-0-3-14-3738
153739-32,79-0-1-28-3739
153740-40,61-1-3-4-3740
153741-79,05-0-3-13-3741
153742-26,53-0-3-27-3742
153743-68,30-1-3-7-3743
153744-56,67-1-1-15-3744
153745-32,12-0-1-26-3745
153746-56,85-1-4-3-3746
153747-52,37-1-1-22-3747
153748-65,20-0-4-22-3748
153749-52,66-1-4-23-3749
153750-37,62-0-3-16-3750
153751-67,09-1-1-18-3751
153752-39,20-0-3-19-3752
153753-75,23-0-3-4-3753
153754-71,76-1-3-3-3754
153755-42,96-0-2-18-3755
153756-74,20-0-4-0-3756
153757-64,84-0-3-5-3757
153758-45,79-0-2-4-3758
153759-29,02-0-1-27-3759
153760-70,11-1-1-26-3760
153761-67,16-1-3-25-3761
153762-74,40-1-2-16-3762
153763-42,87-1-3-18-3763
153764-43,28-1-4-1-3764
153765-51,91-0-4-20-3765
153766-78,67-0-1-4-3766
153767-45,39-1-2-29-3767
153768-42,96-0-2-5-3768
153769-77,25-0-1-23-3769
153770-35,46-0-3-5-3770
153771-61,11-1-3-20-3771
153772-36,44-0-1-10-3772
153773-60,32-1-2-9-3773
153774-56,37-1-3-16-3774
153775-69,08-1-2-4-3775
153776-38,91-1-1-7-3776
153777-45,38-0-4-9-3777
153778-76,94-0-1-2-3778
153779-59,36-0-1-13-3779
153780-53,61-1-1-15-3780
153781-36,00-0-2-11-3781
